,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
1,6797,6976,6639,5002,6346,5324,7155,6748,5873,6805,6477,7160,5294,3982,3100,1988,2617,1710,2366,2424,2697,2409,2336,2406,2963,2616
2,7190,6828,7019,5111,6450,6815,7030,6816,5834,6633,6615,6729,5569,4154,3383,1955,2402,1793,2493,2487,2640,2485,2437,2628,2927,2813
3,8021,7100,7277,6379,6698,7157,7723,7787,6566,6747,7713,7462,6273,5196,3724,2106,2824,2027,2460,2523,3201,2799,2836,2714,2911,3004
4,8458,7836,7833,7087,7604,7779,8835,5714,7654,6843,9215,8285,6258,6035,3856,2328,3012,2288,2764,2725,3315,2945,2901,3289,3273,3630
5,9793,9702,8971,7837,9349,9951,10877,11933,8983,6880,11642,10906,7983,7208,4770,2777,3393,2532,3422,2908,3876,3653,3309,3685,3620,3790
6,11426,11079,10581,10108,11439,13264,13278,12711,11955,12423,16184,13382,9677,8086,5604,3179,4017,3288,3659,3999,4995,4320,4250,4907,4218,4544
7,13150,14313,12787,12718,14468,16219,16850,16606,16304,16123,19195,17145,12403,12186,7743,3893,5435,4508,4939,4898,6524,5561,4953,6361,5685,5796
8,14462,15030,15006,14963,18531,16448,17459,18505,18490,19462,20390,18852,16477,13223,8885,5480,7292,6261,6760,6313,8486,7624,6782,7478,8254,6946
9,15155,16181,15409,15984,18869,16903,18452,18698,19050,21295,18752,19169,17766,13175,9301,6385,7644,6635,7416,7570,9936,8424,7223,8459,6729,7466
10,14725,15210,16239,17292,17064,16024,15445,17946,18649,20711,17415,15789,17546,12352,8911,7152,7847,6403,7815,7978,10175,8996,7575,8622,8254,7562
11,14404,15946,15872,15077,16713,14893,17654,18929,15890,18018,19073,17395,18632,11396,9350,7522,7640,6126,7961,7425,9052,8767,7670,9092,7726,7861
12,14780,15115,15208,15383,18504,16768,16476,19230,17021,17422,20787,18395,17555,11031,9760,7807,7651,6186,8512,7837,8573,9244,8480,9386,8050,8230
13,13928,15517,14755,16175,19430,16343,18196,17489,17319,19003,21557,19849,16416,11462,10610,7746,7408,6784,8639,8173,8954,9639,9052,9054,8097,8664
14,14037,15475,15135,16830,18632,15606,18204,18419,17828,20177,20812,19283,15674,11637,11760,9414,7728,7058,9199,8730,9426,9502,9389,9002,8171,9365
15,13223,12568,12915,14202,18062,16237,16880,17830,15370,20941,23909,16205,15445,9609,9331,7897,7876,7077,7850,7885,8039,8657,8545,6414,7909,9279
