,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
1,12301,10996,15818,15046,13360,9982,16289,13509,12952,14648,14576,16480,11490,11565,9605,5550,7356,5851,5617,6611,7140,7174,6478,8109,9483,8801
2,12880,12201,16382,13303,12742,11304,14520,14948,12458,14885,13657,16021,11681,11519,9616,5660,6676,5483,5904,6491,5824,6387,6876,8823,10022,9124
3,16857,14119,17401,14492,13903,11689,15564,17850,11577,14166,15555,17121,12536,12626,10998,5173,7411,5545,6993,6953,7079,8118,8661,10065,10546,9937
4,19628,14902,15444,16862,14929,12621,16153,16242,11528,15769,17076,20102,13517,13780,11563,5993,8324,6234,7643,7629,8050,8756,9544,11257,11292,11535
5,22862,17606,15991,19200,17848,15460,20377,26783,12873,23658,21094,23492,13346,19413,14719,6690,9156,7055,7776,8226,9240,10548,11055,13080,13349,12564
6,24576,21908,19870,25497,25161,22154,24925,33545,17646,22757,30977,29113,17555,25275,18190,8295,12645,8970,8793,9886,11397,13800,12805,15374,14450,13390
7,34029,33242,24585,32816,34754,36889,36383,42609,25615,32030,40357,42746,23107,41916,29632,10749,18897,11718,11549,13720,18533,18804,18119,22967,18440,18276
8,40405,39486,36641,36876,53389,41358,40945,46312,39465,42931,42573,49664,35188,48159,37729,15758,30048,16616,20307,21972,26068,23623,22525,29421,26194,24573
9,44553,43245,39105,38236,55838,39842,43246,47365,47387,47641,33426,44399,41973,45139,35253,23409,31225,17506,22627,26662,32267,23420,25803,31541,22488,27829
10,41234,40521,40963,42796,44945,29713,32755,41284,51724,53089,24550,27370,37710,37535,18450,27939,27759,16508,22822,26787,33453,24072,25843,26676,26194,27751
11,40805,37491,39833,28827,28497,37899,37301,40154,33668,35165,28874,29464,40494,30724,21594,28757,24018,18595,20966,20993,28118,23935,21887,26765,26720,25652
12,37692,33212,33023,34278,22479,36940,33971,41509,37344,43288,31852,28956,40119,28050,26597,28709,20034,19098,20925,19558,24812,25471,23628,26572,27390,26022
13,33719,29629,30572,30058,33239,35947,34099,37116,33632,48725,33020,32897,35403,25993,27997,29293,17376,21196,18845,20512,23529,24495,24449,26325,28450,34550
14,30095,29216,32716,31066,31451,31070,35196,35101,34895,64815,34922,32772,32539,27705,31909,25168,19209,21333,19671,18860,23681,24709,24950,27037,27989,26365
15,26311,16786,19896,21661,31872,34940,28425,25989,23525,74810,48332,25012,30717,15679,19352,24236,18862,20110,14542,14070,17352,21781,21485,17385,26284,19052
