,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
1959,14588,14898,15936,18221,22415,27356,37961,42671,45400,49992,42910,42733,43302,47544,40660,36759,50671,49751,50819,54369,52095,54179,57463,46599,77259,105191,288900,307895,243199,137767,84357,55853,50593,51163,45238,35842,36554,31614,30268,31843,26317,28090,31682,29407,28105,26369,19836,17538,15616,14434,12604,12648
1960,12138,14558,16080,17465,23681,26145,29715,35679,39124,42392,36729,40001,43510,49840,47248,39117,43751,50396,51554,45304,44788,46364,48580,40705,45359,49185,51723,50847,50042,49154,43619,42881,43522,40726,46281,46479,34335,35789,35389,35499,29330,29978,31241,28777,25480,21084,13895,13445,13018,11102,12207,12703
1961,16986,17366,17964,18879,27993,30816,34076,53024,51958,46326,40047,43667,47095,51373,42161,36909,46851,51156,49852,42287,49895,53299,56147,42035,44671,47419,52045,49217,50122,55552,51717,54283,56766,53214,55279,54006,48552,66637,77537,88702,95840,83194,64302,43932,38160,30464,20587,20112,19310,15596,15961,16201
1962,14882,15737,15999,16785,22757,25297,28742,39416,40037,38493,44044,45486,47002,49588,40968,36999,51975,55635,54265,47180,57601,59234,59989,127589,188244,214303,158557,122869,93310,76552,66767,76785,85686,76398,120858,130981,85365,66775,54103,41013,38097,36576,35154,35611,31641,26481,24353,21109,18306,16086,15361,15009
1963,14672,14392,14779,16023,21747,23763,26418,36114,39974,42966,47054,43066,40952,46214,35825,30472,45136,44036,42884,41104,52420,54054,53718,64246,63686,67635,90699,80083,73945,84889,75279,82549,74203,78085,69920,66086,63671,56261,49869,40299,32955,31197,30485,32746,24269,23269,23324,20314,18345,19761,16636,15182
1964,15400,13900,14924,18984,24606,27241,31486,33610,36844,40684,43659,42131,41161,42217,37069,35494,49210,49310,49566,50106,48396,50399,53459,35518,41666,48122,59192,54552,52311,59745,52735,51561,51382,56266,53961,52770,48356,47701,48203,50113,38155,38954,42210,36505,32644,27496,20615,17791,15566,14924,13519,13955
1965,16128,15463,16487,19712,22958,25903,31913,36071,42893,51950,55797,60549,62999,56315,48871,44303,50393,50668,52514,48972,55920,52008,56056,35441,48109,79251,209104,358580,432891,206115,106490,63894,60601,52255,49762,48421,46207,48452,48995,47964,37248,37463,40068,35959,33906,31178,21980,19920,18069,16233,14198,14968
1966,9093,15388,18334,19404,27212,32369,41384,52670,54650,53782,43295,44963,45889,43939,40455,39320,48188,52683,51803,48608,58250,75352,96012,46137,56873,65804,71078,75398,80459,91385,98345,103169,102289,87829,85019,79134,50568,52313,49383,40313,31565,31967,33047,29897,29189,24045,20083,18299,16564,14140,15325,13883
1967,13048,13588,13021,13987,21146,23250,25270,46353,51872,54544,46963,43723,41054,39641,32845,29817,42231,59706,51790,46025,60629,59730,55286,239715,245019,238860,178038,154886,133694,110726,88626,75786,70568,57260,57967,55256,44156,48976,47846,40187,30653,30989,31885,28035,26304,23996,19201,18389,17369,14903,14254,13933
1968,17129,16669,16087,16842,19674,29850,32610,34172,39915,45003,52458,46286,43580,55118,39070,30862,53830,52305,53589,54824,63092,66198,68502,56238,59414,65016,84322,78390,74711,79731,74151,64079,65518,103152,87932,80078,69482,56727,49219,43204,27208,28677,31857,35693,30816,26964,22701,18345,15137,15491,14061,15529
1969,17766,15061,16223,18333,20319,23754,31514,37718,43738,50386,58051,54111,52169,58247,46091,40671,62811,54006,53078,59563,70105,81069,93345,95683,171147,254016,412398,309178,219159,143535,99840,84098,88059,104013,87393,80636,78982,69242,63166,58716,36612,37234,40642,42168,40016,37142,28721,24601,21319,20167,16007,15321
1970,17192,15592,16158,19173,22647,26654,35224,41188,49022,58142,54348,54527,54989,53655,51379,52221,60557,58842,61144,68614,60544,66393,75985,105805,131392,162048,230797,242921,240958,174622,117807,112633,129280,150178,123513,109037,86317,70287,61649,56084,35870,37625,44464,36085,34318,31962,22715,21431,20149,18235,16040,15742
1971,18445,19570,18658,19753,23517,30779,36678,44482,52560,58396,49174,52899,54789,49371,50543,52932,61992,108757,156301,228396,211440,187530,159418,60186,72026,79012,67648,70136,69964,64736,53681,59531,66531,62307,61912,59857,48475,52480,54264,53649,47527,46352,45368,36659,33605,29533,20153,21041,20172,17962,16542,17680
1972,20839,21984,20336,18571,26917,28708,29708,48590,54044,57120,62055,58995,56736,55952,48804,44254,53627,61887,60009,47054,66632,78109,89061,110229,108401,106264,101668,109160,111276,90258,91403,94352,73390,74207,71782,68919,57561,59431,56817,48412,39580,40362,41034,39928,35002,28434,24633,26245,25935,16821,18301,19449
1973,19103,20568,21340,22805,32248,36886,44121,76641,75641,67081,75327,65775,60751,73591,54519,45638,78176,78976,76330,72415,97723,92941,80941,439341,372737,326831,211113,159157,116904,97188,80940,65732,55198,68404,63484,61467,60239,62542,59430,50295,45123,43418,42294,51016,42088,30184,29267,24491,20714,19544,18314,17488
1974,23387,22862,24364,28644,35538,40387,49637,62063,65490,67298,72205,64349,61707,81207,61939,52459,82285,77845,76851,78806,111746,194681,297941,81872,79484,85339,131215,114727,104615,118139,102052,87536,76879,97111,82051,75511,72415,65010,60628,57428,36770,38316,44968,48986,42098,32914,29813,24269,20579,23387,20977,21817
1975,23933,19968,21536,29421,30741,35921,48321,61459,66997,73017,72884,72716,73575,79485,63997,56910,84084,83679,85857,91707,83079,84728,88844,300174,223432,158931,117243,97283,83563,91063,85508,76692,66057,73563,64808,60881,58331,52266,53567,57617,41447,44050,51114,47453,44630,40866,34716,29813,25871,24269,20044,19948
1976,20468,22862,21340,24364,29716,34877,46776,59735,70029,78413,81444,76968,76445,77926,67283,71166,77928,86132,93999,106941,128529,160500,170100,85204,108252,138761,218099,169947,129127,100891,71948,54824,44987,40691,39538,50557,70693,71718,70794,67459,65430,61835,57491,26719,34255,44303,34257,33152,32154,26348,25088,23408
