,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
1,3883,2740,4012,2519,3894,3402,4222,3434,2846,3727,3737,5186,4147,2878,2723,1400,2013,1688,1934,1733,2089,1779,1928,1724,2123,1513
2,4184,3533,4109,2759,4107,3361,4675,4107,3388,4048,3993,5420,4032,3081,2730,1501,1887,1661,2035,1584,1866,1821,1928,1791,2523,1845
3,4795,4131,4723,2838,4373,4170,4222,4227,3423,3982,4365,5147,4112,2947,2781,1368,2187,1628,2197,1797,1823,2007,2070,1795,2419,1908
4,5932,4702,4860,4109,4839,4819,5037,4924,4033,4631,5479,5884,4314,3759,3326,1640,2602,1880,2230,1821,2171,2349,2283,2150,2415,2109
5,6586,5171,5348,5088,5479,6009,5892,4626,5034,5848,6506,6330,4376,4752,3672,1766,2965,2387,2508,1905,2499,2449,2389,2591,2605,2501
6,7548,7053,6783,5930,7584,7461,7785,8055,6402,6985,9061,8664,5510,6753,4698,2173,3455,2698,3058,2286,2949,3060,2999,3163,3215,2836
7,9291,9130,8621,7641,9921,11556,10381,9622,8747,9602,14994,12048,7428,7815,6017,2915,4638,3690,4025,3529,4478,4255,3915,4639,4022,3588
8,12727,12811,11938,10280,13112,15071,13734,13955,14040,13941,18273,17082,10742,13189,10210,3815,7195,6024,6256,5867,7185,6985,5688,7428,6148,5550
9,15142,13702,13729,11955,16959,14578,13997,16747,16039,17066,19211,18926,16173,14584,11102,6653,10625,8419,9860,7952,9186,9497,7960,9511,9385,6778
10,14203,14442,14367,13944,17041,15244,15274,16471,16882,19635,18253,18430,17184,15410,11436,8293,10913,8794,10642,9292,11156,11576,9625,11057,7393,7896
11,14414,13783,15261,15993,15295,14475,12921,15809,16073,19557,15472,14376,15950,14330,11662,9814,11348,9553,11805,10548,12365,14025,10677,11830,9385,8685
12,15182,13883,15432,12859,16333,13463,15426,16935,12932,15888,17442,16450,17944,14403,10379,9991,11277,10740,12973,10519,11648,14302,11322,13205,9699,9930
13,15453,13533,14099,13621,19123,15737,14172,18013,15019,16412,19858,17777,17914,13946,12776,11372,11621,11199,14811,11768,11978,14125,12602,13496,10078,10930
14,14306,13802,14278,14960,21636,15193,15892,15685,16026,18384,20711,19620,17045,14733,14613,12258,11416,12272,13930,12660,12969,14009,12992,12982,10728,11872
15,13792,13829,15042,15612,20113,14259,15991,15929,17106,20582,19305,18496,16156,14770,16337,12152,12283,13168,14909,13079,13584,13551,13390,12564,10565,13023
16,12735,10230,10690,11743,17683,16105,14355,16064,13784,20855,23743,15034,15588,11317,10301,12835,12442,12081,10893,11570,10384,11537,11603,7788,10316,11479
17,13399,13869,12061,18123,22601,16017,18178,14202,15798,33912,21969,17699,10658,13294,14133,11719,12475,11003,11771,11490,11756,9983,10767,8749,8340,10542
18,13974,15466,15086,17446,19581,16862,19068,18589,19064,31574,22031,19506,15682,14022,14824,13564,13264,11382,13506,13432,11543,10228,11159,9515,9425,11156
19,14372,17261,16846,19131,18707,18281,19388,19135,20947,27380,22167,21245,19663,16147,15554,13655,14311,11841,19096,14619,11652,11129,11839,10504,9750,11351
20,14975,19114,20007,21880,18197,18486,19579,19375,20015,22894,22905,22751,20575,16553,16225,15101,14414,12596,34020,13652,11075,11164,11767,10486,10375,10028
21,15810,19801,22007,26308,16665,19493,20635,19120,19953,20316,23171,24348,22012,17053,18205,16749,13307,11191,26695,12314,9532,10232,9002,7642,10358,8498
22,23550,19893,30910,30328,16210,17991,22112,19848,19391,19720,23867,23807,29674,17162,20514,15044,12397,10180,19694,10047,10242,9481,8760,10043,9247,7798
23,22308,16192,53240,31572,21271,15675,22907,20727,18778,26403,23859,23733,45795,17556,40337,14943,10371,9998,12316,9229,8370,8581,7157,11092,9792,7522
